"Step","dauntless-pine-2 - eval/loss","dauntless-pine-2 - eval/loss__MIN","dauntless-pine-2 - eval/loss__MAX"
"2","2.1464881896972656","2.1464881896972656","2.1464881896972656"
"6","2.045959234237671","2.045959234237671","2.045959234237671"
"9","1.9648864269256592","1.9648864269256592","1.9648864269256592"
"13","1.9020311832427979","1.9020311832427979","1.9020311832427979"
"16","1.8497750759124756","1.8497750759124756","1.8497750759124756"
"20","1.7993295192718506","1.7993295192718506","1.7993295192718506"
"23","1.7562830448150635","1.7562830448150635","1.7562830448150635"
"27","1.7230557203292847","1.7230557203292847","1.7230557203292847"
"30","1.6946117877960205","1.6946117877960205","1.6946117877960205"
"34","1.6740480661392212","1.6740480661392212","1.6740480661392212"
"37","1.6520358324050903","1.6520358324050903","1.6520358324050903"
"41","1.634063720703125","1.634063720703125","1.634063720703125"
"44","1.6232106685638428","1.6232106685638428","1.6232106685638428"
"48","1.6048319339752197","1.6048319339752197","1.6048319339752197"
"51","1.594304084777832","1.594304084777832","1.594304084777832"
"55","1.5823713541030884","1.5823713541030884","1.5823713541030884"
