"Step","lunar-lake-1 - eval/loss","lunar-lake-1 - eval/loss__MIN","lunar-lake-1 - eval/loss__MAX"
"2","5.788717746734619","5.788717746734619","5.788717746734619"
"6","5.2569050788879395","5.2569050788879395","5.2569050788879395"
"9","5.033215045928955","5.033215045928955","5.033215045928955"
"13","4.89224910736084","4.89224910736084","4.89224910736084"
"16","4.787426471710205","4.787426471710205","4.787426471710205"
"20","4.7165141105651855","4.7165141105651855","4.7165141105651855"
"23","4.655308723449707","4.655308723449707","4.655308723449707"
"27","4.605634689331055","4.605634689331055","4.605634689331055"
"30","4.565038681030273","4.565038681030273","4.565038681030273"
"34","4.53208589553833","4.53208589553833","4.53208589553833"
"37","4.504316806793213","4.504316806793213","4.504316806793213"
"41","4.4783735275268555","4.4783735275268555","4.4783735275268555"
"44","4.454995155334473","4.454995155334473","4.454995155334473"
"48","4.434964656829834","4.434964656829834","4.434964656829834"
"51","4.416467666625977","4.416467666625977","4.416467666625977"
"55","4.398645401000977","4.398645401000977","4.398645401000977"
"58","4.382538795471191","4.382538795471191","4.382538795471191"
"62","4.370264530181885","4.370264530181885","4.370264530181885"
"65","4.356469631195068","4.356469631195068","4.356469631195068"
"69","4.342231273651123","4.342231273651123","4.342231273651123"
"72","4.331258773803711","4.331258773803711","4.331258773803711"
"76","4.319207668304443","4.319207668304443","4.319207668304443"
"79","4.307285308837891","4.307285308837891","4.307285308837891"
"83","4.301235198974609","4.301235198974609","4.301235198974609"
"86","4.288496494293213","4.288496494293213","4.288496494293213"
"90","4.279307842254639","4.279307842254639","4.279307842254639"
"93","4.272910118103027","4.272910118103027","4.272910118103027"
"97","4.261131763458252","4.261131763458252","4.261131763458252"
"100","4.254383563995361","4.254383563995361","4.254383563995361"
"104","4.24596643447876","4.24596643447876","4.24596643447876"
"107","4.237063407897949","4.237063407897949","4.237063407897949"
"111","4.230998992919922","4.230998992919922","4.230998992919922"
"114","4.2245330810546875","4.2245330810546875","4.2245330810546875"
"118","4.21909761428833","4.21909761428833","4.21909761428833"
"121","4.212441921234131","4.212441921234131","4.212441921234131"
"125","4.209834098815918","4.209834098815918","4.209834098815918"
"128","4.201269626617432","4.201269626617432","4.201269626617432"
"132","4.195390701293945","4.195390701293945","4.195390701293945"
"135","4.190463066101074","4.190463066101074","4.190463066101074"
"139","4.1840667724609375","4.1840667724609375","4.1840667724609375"
"142","4.178501605987549","4.178501605987549","4.178501605987549"
"146","4.174737930297852","4.174737930297852","4.174737930297852"
"149","4.169839859008789","4.169839859008789","4.169839859008789"
"153","4.165835380554199","4.165835380554199","4.165835380554199"
